Text,Sentiment
i feel awful about it too because it s my job to get him in a position to succeed and it just didn t happen here,sadness
im alone i feel awful,sadness
ive probably mentioned this before but i really do feel proud of myself for actually keeping up with my new years resolution of monthly and weekly goals,joy
i was feeling a little low few days back,sadness
i beleive that i am much more sensitive to other peoples feelings and tend to be more compassionate,love
i find myself frustrated with christians because i feel that there is constantly a talk about loving one another being there for each other and praying for each other and i have seen that this is not always the case,love
i am one of those people who feels like going to the gym is only worthwhile if you can be there for an hour or more,joy
i feel especially pleased about this as this has been a long time coming,joy
i was struggling with these awful feelings and was saying such sweet things about not deserving my and my sisters friendship and we agreed well she was in her car just starting to drive away when she reached out her hand,joy
i feel so enraged but helpless at the same time,anger
i said feeling a bit rebellious,anger
i also feel disillusioned that someone who claimed to value the truth as i do was a fraud,sadness
i mean is on this stupid trip of making the great album when things are going well i feel ecstatic,joy
i woke up feeling particularly vile tried to ignore it but it got worse and worse and worse,anger
i could feel the vile moth burrowing its way into my brain seeking my brain as a means to control and enslave me just as those nasty bug things did to chekov in star trek the wrath of khan,anger
i know its just doing its job and doesnt actually have thoughts or feelings but that little jingle it does at the end of every cycle just makes it seem so excited to have done another load that it cant help but sing about it,joy
i wish you knew every word i write i write for you and i think it s useless because i m just heartless this feeling is empty in it s w,sadness
i feel weird knowing mine died when i wasn t around,fear
i feel assured that there is no such thing as ultimate forgetting traces once impressed upon the memory are indestructible,joy
i feel blessed everyday for our little man and love to watch him grow,love
i feel exhausted when i go home but i am always glad that i am learning new things and i can help others learn as well,sadness
i stil can see kaibas face on every tv screen still see amateur duelists prowling the good side of city and still feel the urge to throttle all those idiotic mortals that dare to look me in the eye,sadness
i don t like to feel uncomfortable with being alone and being quiet,fear
i was left kinda feeling stupid and insecure,sadness
i alternate between feeling sympathetic toward humanity and being a misanthrope,love
i have a pretty bad feeling the last two books will be rushed in terms of story,anger
i sincerely believe that every client celebrity or not deserves my full attention and leaves feeling more glamorous than when they arrived,joy
i don t feel comfortable around you,joy
i am happy that you don t feel as burdened and consumed as i do,sadness
i am still here i am not dead yet but these things can not be said without feeling humiliated,sadness
i have been continually surprised at how much less i need to eat to feel truly satisfied if im eating good food and sitting down for a whole lovely little experience at each meal satisfying the soul as well as the stomach,joy
i pretty much waddled out of the hospital feeling weird lightheaded but ok,surprise
i apologize to him almost every day for my lack of faith and i ask him to give me more because i feel uncertain about my future here in kiev,fear
i am still searching for direction but at least now i feel slightly more assured more hopeful,joy
i am so angry that i feel like i have to go through life not being as carefree as i want to be,joy
i feel passionate about today because of him,love
i am only having day a week where i am feeling depressed or seriously anxious,sadness
article published,joy
i see things so clearly and with so much depth peace that it makes me feel unsure,fear
i feel myself relax a little he wouldn t be this friendly if he was going to tear me off a strip but my mind is working overtime trying to work out what he does want,joy
i feel doubtful about my place in the world of technology and the applicable value of the work i do i often find it helpful to think about doug engelbart listening to him describe in one of many interviews his goals the genesis of his goals and his dogged perseverance toward meeting his plan,fear
im feeling rotten i dont post much new material that doesnt mean you shouldnt be reading when youre feeling rotten,sadness
i have a feeling that theyre probably not going to be thrilled with me,joy
ive been feeling pretty shitty and been in a pretty shitty mood the past few days,sadness
i cant even imagine how my mom and her three younger sisters must feel i think the weird thing about death is that from an early age we associate it with something evil and tragic,surprise
i feel glad i am on the side of the law and the only journey about to start was our weekend sojourn to the city of pines,joy
i will most likely feel overwhelmed and exhausted again,fear
i can feel myself reaching out extending through time and space to touch my beloved,joy
im looking right now so desperately looking for a creative project that i feel like i have had a hand in that i need to sit and write my fucking mother fucker of a fuckity fuckers fucked play before i feel satisfied doing anything else,anger
i am really hoping to get to target soon and i am so glad im feeling more positive this week,joy
i dont know if i feel appreciative of all the talent out there or depressed that i suck at this so much,joy
i feel he will be ok with out it,joy
i tend to stop breathing when i m feeling stressed,sadness
i feel sickened by and disgusted with the sins of man despite my divinity i feel sickened by and disgusted with the sins of man,anger
i feel that i have nothing smart or interesting to write about these days,joy
i feel blessed and grateful today,love
i am not feeling very compassionate towards those that need our help i just want them to fix their own problems so i dont have to figure out what parts they need or how long it will take to get the job done or is this an emergency,love
i had my week appointment yesterday and left feeling a little defeated,sadness
i know it isnt true but sometimes i feel like the most unimportant insignificant person on the face of the earth,sadness
i feel so numb to everything right now and its hard to express exactly what i feel but we went for a little harrison walk nonetheless to clear our heads,sadness
i feel for you makes me brave,joy
i am feeling incredibly thankful for this year my children,joy
i write this i m sipping on a martini which is probably why i m feeling so generous,joy
i would recommend watching them to feel amazed and inspired,surprise
i can t really put into eloquent words what i m trying to say i just feel listless and useless and meaningless as though i ve failed in life,sadness
i feel that i have a really funny side that i would like people to see,surprise
i already feel awful about what happened and i actually needed to hear you say everything you just said more than anything else in the whole world,sadness
i feel divine and strong,joy
i can say that i feel amazed,surprise
i actually think i am a fairly authentic person generally i am pretty honest about my opinions desires etc and almost never lie even white lies but when it comes to those deep dark close to home negative feelings in your gut oh how i have repressed them out of fear,sadness
i slept horribly and i m feeling doubtful about everything like why can t i manage to figure out how to save more money,fear
i feel hopeful yet at times not so hopeful,joy
i just supposed to read the bible and think well god wants me to feel peaceful so thats what i will do,joy
i hated growing up i have no good memories of a life as an innocent child only the feeling of being hated and worthlessness consume the memories,anger
i am having really badly cannot wear anything without causing spasms diarrhea or eat more than a few of mouthfuls i am feeling very miserable,sadness
when my kid brother broke my reading spectacles,anger
i could feel my mouth water as i devoted all my energy to evoking yelps from his lips,love
im feeling though that it may be worthwhile to learn the terminology and thus improve my ability to communicate,joy
i don t feel afraid i m a nurse i m doing my job,fear
i was feeling confident that i could work with these kids teach them,joy
im feeling scared,fear
i was feeling really cute and happy for church on sunday so i thought itd be a good time to take a belly picture,joy
i feel burdened because yuchun and junsu have been doing so well,sadness
i had to really say that i m feeling remorseful and regretful for what i ve done,sadness
im associated with what they do despite how i feel and protest about it whilst reaping the benefits of a relatively peaceful society,joy
i have a feeling i will once again walk out pressured to induce but i just have to remain strong in the face of pressure,fear
i feel like i m frolicking away precious time to do something for my future,joy
i feel like i have some useful tools,joy
i feel like im in some kind of defective shell that prevents me from utilizing who i know myself to be from using the tools i was given,sadness
i feel so empty i dont know what i am suppose to do,sadness
i genuinely feel for the characters and am keen to uncover every part of the story,joy
im feeling adventurous i might toss in a scoop of protein powder for an extra punch of nutrition,joy
i feel awkward around rose,sadness
i want to be generous but sometimes i feel greedy,anger
i feel so unsure about this book was the ending,fear
i really liked it and i have a feeling the beloved would have liked it too except hes away still and missed out,joy
i feel like talking in a snobbish uppity accent and responding with let me just say a lot while flipping my hair and then trying to pull the cheese wiz out of it,anger
i don t feel as needy and desperate to prove things,sadness
i feel bad for my mum who carries everything and everyone,sadness
i have a feeling some people really outgoing people must feel like that naturally,joy
i was still feeling pretty discouraged when a friend of mine shared a verse with me may the god of hope fill you with all joy and peace as you trust in him so that you may overflow with hope by the power of the holy spirit,sadness
i try not to be too dismissive of elections since i feel privileged to have the right to be dismissive of elections but it s really hard to get too excited about an election where half the races on ballot are folks running completely unopposed,joy
im feeling too low for creative play,sadness
i find myself feeling quite distressed by approaching each meal with concern,fear
i feel so foolish and ashamed,sadness
i was feeling ok ish so decided to carry on with another group that had set off later but were catching up with us quickly,joy
i feel embarrassed or mean when i would do other wise,sadness
