Text,Aspect Term,Sentiment
I charge it at night and skip taking the cord with me because of the good battery life.,battery life,Positive
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,Negative
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","""sales"" team",Negative
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",tech guy,Neutral
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,Positive
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",GUI,Positive
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,Positive
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,Positive
Easy to start up and does not overheat as much as other laptops.,start up,Positive
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,Positive
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,Positive
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,Positive
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,Positive
Great laptop that offers many great features!,features,Positive
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,Negative
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,Negative
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",power light,Neutral
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive light,Negative
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,Neutral
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,Positive
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,Negative
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,Positive
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,Positive
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,Neutral
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,Neutral
I love the way the entire suite of software works together.,suite of software,Positive
The speed is incredible and I am more than satisfied.,speed,Positive
This laptop meets every expectation and Windows 7 is great!,Windows 7,Positive
I can barely use any usb devices because they will not stay connected properly.,usb devices,Negative
