Text,Aspect Term,Sentiment
But the staff was so horrible to us.,staff,Negative
To be completely fair[comma] the only redeeming factor was the food[comma] which was above average[comma] but couldn't make up for all the other deficiencies of Teodora.,food,Positive
The food is uniformly exceptional[comma] with a very capable kitchen which will proudly whip up whatever you feel like eating[comma] whether it's on the menu or not.,food,Positive
The food is uniformly exceptional[comma] with a very capable kitchen which will proudly whip up whatever you feel like eating[comma] whether it's on the menu or not.,kitchen,Positive
The food is uniformly exceptional[comma] with a very capable kitchen which will proudly whip up whatever you feel like eating[comma] whether it's on the menu or not.,menu,Neutral
Not only was the food outstanding[comma] but the little 'perks' were great.,food,Positive
Not only was the food outstanding[comma] but the little 'perks' were great.,perks,Positive
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,Positive
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,Positive
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,Neutral
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,Neutral
The Bagels have an outstanding taste with a terrific texture[comma] both chewy yet not gummy.,Bagels,Positive
Nevertheless the food itself is pretty good.,food,Positive
They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,toast,Negative
They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,mayonnaise,Negative
They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,bacon,Negative
They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,cheese,Neutral
They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,ingredients,Negative
They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,plate,Neutral
They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,omelet,Neutral
It took half an hour to get our check[comma] which was perfect since we could sit[comma] have drinks and talk!,drinks,Neutral
It took half an hour to get our check[comma] which was perfect since we could sit[comma] have drinks and talk!,check,Neutral
The design and atmosphere is just as good.,design,Positive
The design and atmosphere is just as good.,atmosphere,Positive
He has visited Thailand and is quite expert on the cuisine.,cuisine,Positive
The pizza is the best if you like thin crusted pizza.,pizza,Positive
The pizza is the best if you like thin crusted pizza.,thin crusted pizza,Neutral
All the money went into the interior decoration[comma] none of it went to the chefs.,interior decoration,Positive
All the money went into the interior decoration[comma] none of it went to the chefs.,chefs,Negative
The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,Negative
I asked for seltzer with lime[comma] no ice.,seltzer with lime,Neutral
Don't go alone---even two people isn't enough for the whole experience[comma] with pickles and a selection of meats and seafoods.,pickles,Positive
Don't go alone---even two people isn't enough for the whole experience[comma] with pickles and a selection of meats and seafoods.,selection of meats and seafoods,Positive
My suggestion is to eat family style because you'll want to try the other dishes.,dishes,Neutral
My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,Positive
Best of all is the warm vibe[comma] the owner is super friendly and service is fast.,vibe,Positive
Best of all is the warm vibe[comma] the owner is super friendly and service is fast.,owner,Positive
Best of all is the warm vibe[comma] the owner is super friendly and service is fast.,service,Positive
Faan's got a great concept but a little rough on the delivery.,delivery,Negative
From the incredible food[comma] to the warm atmosphere[comma] to the friendly service[comma] this downtown neighborhood spot doesn't miss a beat.,food,Positive
From the incredible food[comma] to the warm atmosphere[comma] to the friendly service[comma] this downtown neighborhood spot doesn't miss a beat.,atmosphere,Positive
From the incredible food[comma] to the warm atmosphere[comma] to the friendly service[comma] this downtown neighborhood spot doesn't miss a beat.,service,Positive
Great food at REASONABLE prices[comma] makes for an evening that can't be beat!,food,Positive
Great food at REASONABLE prices[comma] makes for an evening that can't be beat!,prices,Positive
this little place has a cute interior decor and affordable city prices.,interior decor,Positive
this little place has a cute interior decor and affordable city prices.,prices,Positive
Two words: Free wine.,wine,Positive
The price is reasonable although the service is poor.,price,Positive
The price is reasonable although the service is poor.,service,Negative
The quantity is also very good[comma] you will come out satisfied.,quantity,Positive
I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers[comma] we sat at the sushi bar to be closer to the action.,sushi,Neutral
I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers[comma] we sat at the sushi bar to be closer to the action.,sushi bar,Neutral
The fried rice is amazing here.,fried rice,Positive
Three courses - choices include excellent mussels[comma] puff pastry goat cheese and salad with a delicious dressing[comma] and a hanger steak au poivre that is out of this world.,mussels,Positive
Three courses - choices include excellent mussels[comma] puff pastry goat cheese and salad with a delicious dressing[comma] and a hanger steak au poivre that is out of this world.,puff pastry goat cheese,Positive
Three courses - choices include excellent mussels[comma] puff pastry goat cheese and salad with a delicious dressing[comma] and a hanger steak au poivre that is out of this world.,salad with a delicious dressing,Positive
Three courses - choices include excellent mussels[comma] puff pastry goat cheese and salad with a delicious dressing[comma] and a hanger steak au poivre that is out of this world.,hanger steak au poivre,Positive
Three courses - choices include excellent mussels[comma] puff pastry goat cheese and salad with a delicious dressing[comma] and a hanger steak au poivre that is out of this world.,courses,Neutral
it's a perfect place to have a amanzing indian food.,indian food,Positive
The place is so cool and the service is prompt and curtious.,service,Positive
The place is so cool and the service is prompt and curtious.,place,Positive
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,Positive
I just wonder how you can have such a delicious meal for such little money.,meal,Positive
I just wonder how you can have such a delicious meal for such little money.,money,Positive
The wine list is excellent.,wine list,Positive
Ive been to many Thai restaurants in Manhattan before[comma] and Toons is by far the best Thai food Ive had (except for my mom's of course).,Thai food,Positive
They wouldnt even let me finish my glass of wine before offering another.,glass of wine,Neutral
Whem asked[comma] we had to ask more detailed questions so that we knew what the specials were.,specials,Neutral
This is a consistently great place to dine for lunch or dinner.,lunch,Neutral
This is a consistently great place to dine for lunch or dinner.,dinner,Neutral
This is a consistently great place to dine for lunch or dinner.,dine,Positive
Nice atmosphere[comma] the service was very pleasant and the desert was good.,atmosphere,Positive
Nice atmosphere[comma] the service was very pleasant and the desert was good.,service,Positive
Nice atmosphere[comma] the service was very pleasant and the desert was good.,desert,Positive
After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,Positive
After really enjoying ourselves at the bar we sat down at a table and had dinner.,table,Neutral
After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,Neutral
Fabulous service[comma] fantastic food[comma] and a chilled out atmosphere and environment.,service,Positive
Fabulous service[comma] fantastic food[comma] and a chilled out atmosphere and environment.,food,Positive
Fabulous service[comma] fantastic food[comma] and a chilled out atmosphere and environment.,atmosphere,Positive
Fabulous service[comma] fantastic food[comma] and a chilled out atmosphere and environment.,environment,Positive
Try the lasagnette appetizer.,lasagnette appetizer,Positive
I liked the beer selection!,beer selection,Positive
Great food[comma] good size menu[comma] great service and an unpretensious setting.,food,Positive
Great food[comma] good size menu[comma] great service and an unpretensious setting.,menu,Positive
Great food[comma] good size menu[comma] great service and an unpretensious setting.,service,Positive
Great food[comma] good size menu[comma] great service and an unpretensious setting.,setting,Positive
Go here for a romantic dinner but not for an all out wow dining experience.,dinner,Positive
Go here for a romantic dinner but not for an all out wow dining experience.,dining,Positive
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,Neutral
Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,Positive
Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,Positive
With the great variety on the menu [comma] I eat here often and never get bored .,menu,Positive
The menu is very limited - i think we counted 4 or 5 entrees.,menu,Negative
The menu is very limited - i think we counted 4 or 5 entrees.,entrees,Negative
The menu is limited but almost all of the dishes are excellent.,menu,Negative
The menu is limited but almost all of the dishes are excellent.,dishes,Positive
Not too crazy about their sake martini.,sake martini,Negative
Great bagels[comma] spreads and a good place to hang out in.,bagels,Positive
Great bagels[comma] spreads and a good place to hang out in.,spreads,Positive
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,Neutral
Unfortunately[comma] the food is outstanding[comma] but everything else about this restaurant is the pits.,food,Positive
We always have a delicious meal and always leave feeling satisfied.,meal,Positive
Dip the ingredients in with your chopsticks[comma] swirl them around[comma] and eat.,ingredients,Neutral
Dip the ingredients in with your chopsticks[comma] swirl them around[comma] and eat.,chopsticks,Neutral
First went here to enjoy their garden terrace.,garden terrace,Positive
The pizza was pretty good and huge.,pizza,Positive
The cuisine from what I've gathered is authentic Taiwanese[comma] though its very different from what I've been accustomed to in Taipei.,cuisine,Neutral
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,Positive
They are often crowded on the weekends but they are efficient and accurate with their service.,service,Positive
They are often crowded on the weekends but they are efficient and accurate with their service.,crowded,Negative
All my co-workers were amazed at how small the dish was.,dish,Negative
The atmosphere is unheralded[comma] the service impecible[comma] and the food magnificant.,atmosphere,Positive
The atmosphere is unheralded[comma] the service impecible[comma] and the food magnificant.,service,Positive
The atmosphere is unheralded[comma] the service impecible[comma] and the food magnificant.,food,Positive
We ordered the special[comma] grilled branzino[comma] that was so infused with bone[comma] it was difficult to eat.,grilled branzino,Negative
The wait staff is friendly[comma] and the food has gotten better and better!,wait staff,Positive
The wait staff is friendly[comma] and the food has gotten better and better!,food,Positive
It may be a bit packed on weekends[comma] but the vibe is good and it is the best French food you will find in the area.,vibe,Positive
